2026-05-12 19:44:10 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-12 19:44:10 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-12 19:44:10 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-12 19:44:49 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-12 19:44:49 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-12 19:44:49 | src.rag_pipeline | INFO | Building new FAISS index...
2026-05-12 19:44:49 | src.data_loader | INFO | Loaded healthcare.txt (1162 chars)
2026-05-12 19:44:49 | src.data_loader | INFO | Loaded technology.txt (1262 chars)
2026-05-12 19:44:49 | src.data_loader | INFO | Loaded banking.txt (1212 chars)
2026-05-12 19:44:49 | src.data_loader | INFO | Loaded emergency.txt (1238 chars)
2026-05-12 19:44:49 | src.data_loader | INFO | Loaded entertainment.txt (2421 chars)
2026-05-12 19:44:49 | src.data_loader | INFO | Loaded companion.txt (2797 chars)
2026-05-12 19:44:49 | src.data_loader | INFO | Loaded voice_text_tips.txt (3129 chars)
2026-05-12 19:44:49 | src.data_loader | INFO | Total documents loaded: 7
2026-05-12 19:44:49 | src.data_loader | INFO | Split 7 docs into 38 chunks
2026-05-12 19:44:49 | src.embeddings | INFO | Building FAISS index from 38 chunks...
2026-05-12 19:44:52 | src.embeddings | INFO | FAISS index saved to C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\vectorstore
2026-05-12 19:44:52 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
2026-05-12 19:44:52 | src.llm_engine | INFO | Loading LLM: google/flan-t5-base
2026-05-12 19:49:44 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-12 19:49:44 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-12 19:49:44 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-12 19:49:53 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-12 19:49:53 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-12 19:49:53 | src.embeddings | INFO | Loading FAISS index from C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\vectorstore
2026-05-12 19:49:53 | src.embeddings | INFO | FAISS index loaded successfully
2026-05-12 19:49:53 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
2026-05-12 19:49:53 | src.llm_engine | INFO | Loading LLM: google/flan-t5-base
2026-05-12 19:49:56 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-12 19:49:56 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-12 19:49:56 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-12 19:50:04 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-12 19:50:04 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-12 19:50:04 | src.embeddings | INFO | Loading FAISS index from C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\vectorstore
2026-05-12 19:50:04 | src.embeddings | INFO | FAISS index loaded successfully
2026-05-12 19:50:04 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
2026-05-12 19:50:04 | src.llm_engine | INFO | Loading LLM: google/flan-t5-base
2026-05-12 19:50:07 | streamlit_app | ERROR | Pipeline init error: "Unknown task text2text-generation, available tasks are ['any-to-any', 'audio-classification', 'automatic-speech-recognition', 'depth-estimation', 'document-question-answering', 'feature-extraction', 'fill-mask', 'image-classification', 'image-feature-extraction', 'image-segmentation', 'image-text-to-text', 'keypoint-matching', 'mask-generation', 'ner', 'object-detection', 'sentiment-analysis', 'table-question-answering', 'text-classification', 'text-generation', 'text-to-audio', 'text-to-speech', 'token-classification', 'video-classification', 'zero-shot-audio-classification', 'zero-shot-classification', 'zero-shot-image-classification', 'zero-shot-object-detection']"
2026-05-12 19:51:27 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-12 19:51:27 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-12 19:51:27 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-12 19:51:36 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-12 19:51:36 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-12 19:51:36 | src.embeddings | INFO | Loading FAISS index from C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\vectorstore
2026-05-12 19:51:36 | src.embeddings | INFO | FAISS index loaded successfully
2026-05-12 19:51:36 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
2026-05-12 19:51:36 | src.llm_engine | INFO | Loading LLM: google/flan-t5-base
2026-05-12 19:51:40 | src.llm_engine | INFO | LLM loaded successfully
2026-05-12 19:51:40 | src.rag_pipeline | INFO | Pipeline initialized successfully!
2026-05-12 19:55:26 | src.domain_classifier | INFO | Domain classified: companion (confidence: 0.040)
2026-05-12 19:55:26 | src.domain_classifier | INFO | Embedding classification: voice_text (confidence: 0.667)
2026-05-12 19:55:26 | src.retriever | INFO | Retrieving top-4 chunks for: 'hello...'
2026-05-12 19:55:26 | src.retriever | INFO | Domain filter 'voice_text': 5 matches
2026-05-12 19:55:26 | src.retriever | INFO | Retrieved 4 chunks
2026-05-12 19:55:26 | src.llm_engine | INFO | Generating response for: 'hello'
2026-05-12 19:55:33 | src.llm_engine | INFO | Response generated (2000 chars)
2026-05-12 19:55:33 | src.rag_pipeline | INFO | Query processed — domain: voice_text, emergency: False, sources: ['voice_text_tips.txt']
2026-05-12 19:59:42 | src.domain_classifier | INFO | Domain classified: companion (confidence: 0.040)
2026-05-12 19:59:42 | src.domain_classifier | INFO | Embedding classification: voice_text (confidence: 0.667)
2026-05-12 19:59:42 | src.retriever | INFO | Retrieving top-4 chunks for: 'hi...'
2026-05-12 19:59:42 | src.retriever | INFO | Domain filter 'voice_text': 4 matches
2026-05-12 19:59:42 | src.retriever | INFO | Retrieved 4 chunks
2026-05-12 19:59:42 | src.llm_engine | INFO | Generating response for: 'hi'
2026-05-12 19:59:48 | src.llm_engine | INFO | Response generated (1997 chars)
2026-05-12 19:59:48 | src.rag_pipeline | INFO | Query processed — domain: voice_text, emergency: False, sources: ['voice_text_tips.txt']
2026-05-12 20:07:17 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-12 20:07:17 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-12 20:07:17 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-12 20:07:26 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-12 20:07:26 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-12 20:07:26 | src.embeddings | INFO | Loading FAISS index from C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\vectorstore
2026-05-12 20:07:26 | src.embeddings | INFO | FAISS index loaded successfully
2026-05-12 20:07:26 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
2026-05-12 20:07:26 | src.llm_engine | INFO | Loading LLM: google/flan-t5-base
2026-05-12 20:07:29 | src.llm_engine | INFO | LLM loaded successfully
